18116,17250,16094,16568,16842,16976,16835,16976,16924,16894,17487,17953,18124,17783,17005,17605,19235,19561,18924,18961,19213,18065,17702,17302,16094,14932,14235,14309,15272,16257,16983,17591,18094,18657,18702,19176,19442,19731,19842,19872,20168,20442,20850,21072,21361,21346,20909,20161,19161,18524,18272,18753,19976,20087,19768,18990,18028,17672,16783,16457,16065,15443,15472,15954
16598,16546,17235,17902,18042,17731,17754,17731,17894,18131,18339,18598,18761,19190,18635,18531,18524,19872,20383,20435,20027,18827,17805,16954,15576,14420,14435,14806,15739,16709,17405,17754,18857,19768,19887,20013,20183,20368,20605,20709,20605,20561,20561,20746,20553,20338,19879,19753,19420,19339,19701,19813,20035,19872,19250,19057,19020,18576,17894,17576,17391,16028,15576,15420
17176,17635,17983,18316,18650,18887,18279,18116,18442,18576,18931,19324,19405,20324,19835,19309,19339,19679,20183,20464,19472,18539,17605,16502,15154,14628,14717,15509,16487,17516,18450,18731,19176,19946,20501,20731,20479,20309,20575,21279,21627,21405,21479,21879,21798,21005,20131,20279,20435,20472,20872,21101,20887,20383,19716,19390,19316,18798,18709,18753,17828,16746,15806,15524
18413,18205,18583,19302,20501,20494,18753,18257,19168,19472,19613,19679,20124,20938,20946,20398,19924,20050,19983,19420,18531,17879,17035,15635,14954,14932,15050,15902,17102,18568,19568,19724,19376,20042,20975,21161,21294,20938,21153,22316,22464,22390,22175,22042,21961,21294,21679,21716,21116,21287,21568,21353,20657,20094,19479,19383,19242,19568,19739,19509,18331,17294,16131,15650
19620,19924,19946,21124,21183,20738,19035,18946,19568,19872,20479,20650,20709,21405,21783,21198,20894,20176,19220,18235,17842,16731,15783,15924,16131,16131,15702,15902,17339,18783,19894,20413,20309,20316,21368,21783,21946,21901,22168,22516,22501,21975,21790,22020,22494,22746,23086,23094,22568,22827,21798,21479,21338,20894,20716,20583,20620,20442,20361,19813,18968,17509,16265,15761
19998,20353,20938,21198,20516,19842,19279,19627,20531,20953,20812,21731,21686,21694,21627,21087,20235,18739,17976,17220,16383,16205,17109,17709,17724,17709,17042,15561,16968,18213,19716,20383,20494,20753,21390,21716,21649,21620,21442,21383,21257,21012,21035,21427,22057,22457,23079,22931,22775,23042,22161,22116,21924,21635,21116,20709,20679,20316,20257,19798,18990,17539,16405,16109
19390,19879,20731,21212,21087,20835,19576,19901,20724,21746,21775,21553,21420,21138,19739,19087,18235,17894,17124,16739,16983,17354,17694,18428,18731,18561,18146,17598,16280,16413,17613,18487,19457,19909,20375,20338,20361,20398,20383,20405,20479,20590,20738,21012,21516,21583,21212,20909,20879,21175,21916,22057,21916,21301,20798,20346,20168,20087,19746,18902,18368,17554,16413,16398
18576,19168,20538,21309,21686,21227,21301,21864,21842,21731,21753,20672,19509,19116,18376,18272,17991,17791,17568,17620,17709,17976,17968,18790,19109,18961,18746,18279,16731,16798,16968,17702,18731,19731,20390,20946,21412,21398,20894,20731,20901,21064,21279,21309,21287,21316,21109,20775,20598,20538,20324,20338,20798,20642,19968,19642,19635,19079,18576,17872,17235,16791,16702,17531
18590,19183,20257,20879,21353,21575,21842,22198,21101,20635,20190,20242,20316,20309,18842,18235,18250,18265,18442,18568,18450,18487,18998,19220,19368,19198,18724,18094,17739,17309,17450,17953,18568,19701,20435,20998,21412,21479,21635,21768,21916,22072,22242,21961,21864,21598,21435,21094,20761,20168,20168,20094,20035,19916,19464,19064,18568,17768,17265,16717,16842,17205,17531,18316
19161,19361,19976,20346,20975,21027,21272,21849,21109,20938,20583,20435,19916,19827,19124,19442,19568,19472,19487,19235,19442,19161,19176,19250,19605,19509,19479,19272,18324,17842,18013,18694,18665,19102,19724,20005,20427,21390,21605,21783,21983,22398,23027,23131,23057,22005,21509,21249,21057,20650,20213,19857,19709,19250,18731,18228,17331,17094,16850,17072,17487,18065,18605,19309
19435,19968,20583,21175,21968,21968,22035,22079,21368,20975,20931,20546,19457,19094,19376,19376,19501,19642,19931,20109,20042,19650,19420,19650,19938,19835,19790,19783,18679,18509,18576,19094,19316,19331,19576,19924,20168,20487,20642,20990,21672,21946,22790,23005,22375,21761,21657,21472,21168,20709,20176,19724,19390,18842,18272,17805,17161,17109,17235,17761,18257,18909,19627,20242
19657,20338,20916,21109,21242,21309,21331,21812,21812,21264,21175,20909,20390,19709,19450,19524,19768,19879,20235,20598,20605,20257,20064,20279,20398,20361,20131,20005,19057,19020,19094,19250,19368,19539,19724,19709,19887,20531,21361,21472,21257,21316,22323,22849,22368,22286,22309,22064,21635,20827,20131,19383,18465,18079,18109,17783,17583,17494,18168,18835,19457,20301,21035,21575
19316,19672,19716,19679,19731,20109,20887,21361,21857,21872,21472,21212,20961,20842,20198,19909,20264,20620,20909,20990,21153,21101,20561,20642,20761,20561,20598,20324,19487,19353,19368,19427,19568,19627,19679,19724,19968,20975,21716,21738,21783,21835,22398,23094,23109,23123,23005,22553,21835,20746,19524,18709,18087,18205,18153,17835,17976,18613,19464,20109,20790,21427,22101,22605
18405,18665,19013,19642,20672,21487,21679,21449,21375,21094,20894,20953,21131,21212,21212,21072,21220,21235,21487,21598,21635,21575,21605,21316,21124,21050,20924,20761,20257,19598,19561,19716,19650,19835,19835,19835,20109,20790,21635,21864,21894,22086,22627,23301,23457,23264,22997,21968,21116,19783,18709,18383,18176,18183,18783,19294,19509,19724,20027,20590,21457,21768,22205,22553
18272,19035,19938,20368,20746,21324,21672,21146,20464,20516,20701,20887,21057,21235,21427,21561,21790,21812,21701,21946,22049,22072,22027,21983,22005,21568,21005,20768,20805,20857,20687,20331,20613,20094,20027,19998,20183,20390,21294,21864,22309,23094,23212,23183,22820,22205,21612,20953,20176,19213,18650,18598,18450,18509,19272,19687,20087,20279,20346,20627,21042,21561,21901,22227
17887,18546,19746,20294,21094,21146,20657,20338,20227,20390,20538,20716,20953,21198,21457,21686,21953,22183,22316,22361,22472,22464,22353,22138,22116,21701,21472,21168,21649,21635,21138,21427,21027,20168,20131,20109,20316,20375,21027,22227,22968,23168,22975,22146,21583,20983,20405,19842,19376,19124,19368,18976,18983,18724,19250,19664,20338,20983,21094,20968,20887,20812,21279,21931
17783,18213,18783,19546,20235,20257,19583,19672,19783,19798,20294,20583,20738,21101,21316,21546,21827,22242,22531,22649,22805,22842,22657,22590,22412,22390,22338,22516,22331,21812,21886,21635,21501,20316,20287,20257,20598,21101,21168,22035,22316,22398,21731,20975,20494,20094,19790,19413,19213,19509,19553,19339,19287,19139,19161,19642,20316,21101,21790,21790,21538,21368,21487,21701
